subid,gender,cluster
3,Male,2
4,Male,2
5,Male,2
6,Male,2
9,Male,2
10,Male,2
11,Male,2
12,Male,1
17,Male,2
19,Male,1
20,Male,2
23,Male,1
24,Male,2
25,Male,2
26,Male,2
31,Male,1
32,Male,2
33,Male,1
34,Male,1
35,Male,1
36,Male,2
37,Male,2
40,Male,1
41,Male,1
42,Male,2
43,Male,2
44,Male,1
47,Male,2
48,Male,2
50,Male,1
51,Male,2
53,Male,2
57,Male,2
58,Male,2
62,Male,2
65,Male,1
66,Male,2
68,Male,1
71,Male,1
73,Male,1
76,Male,1
77,Male,1
81,Male,2
82,Male,2
84,Male,2
85,Male,2
86,Male,1
87,Male,1
88,Male,1
89,Male,1
90,Male,1
91,Male,2
92,Male,2
95,Male,2
96,Male,2
97,Male,2
99,Male,2
100,Male,2
102,Male,2
104,Male,2
105,Male,2
112,Male,1
120,Male,2
121,Male,2
124,Male,1
125,Male,2
126,Male,2
127,Male,2
131,Male,2
132,Male,2
134,Male,2
135,Male,2
136,Male,1
137,Male,2
138,Male,2
139,Male,2
140,Male,2
150,Male,1
153,Male,2
158,Male,1
161,Male,2
162,Male,2
163,Male,2
168,Male,2
169,Male,1
170,Male,2
172,Male,2
174,Male,2
175,Male,2
177,Male,2
179,Male,1
182,Male,2
183,Male,2
185,Male,1
188,Male,2
190,Male,2
192,Male,2
195,Male,1
196,Male,2
199,Male,2
200,Male,2
201,Male,2
202,Male,2
204,Male,2
206,Male,2
207,Male,2
209,Male,2
211,Male,2
212,Male,2
214,Male,1
215,Male,2
218,Male,1
220,Male,2
222,Male,2
224,Male,2
225,Male,2
230,Male,1
235,Male,1
236,Male,1
237,Male,2
239,Male,2
240,Male,1
242,Male,2
1,Female,1
2,Female,3
7,Female,1
13,Female,2
14,Female,1
15,Female,3
16,Female,3
18,Female,2
21,Female,2
22,Female,3
27,Female,3
28,Female,2
29,Female,3
30,Female,3
38,Female,1
39,Female,3
45,Female,3
49,Female,3
52,Female,2
54,Female,2
55,Female,1
56,Female,3
60,Female,3
61,Female,3
63,Female,3
69,Female,2
70,Female,2
72,Female,3
74,Female,3
75,Female,2
79,Female,3
80,Female,3
93,Female,2
94,Female,2
98,Female,3
101,Female,3
103,Female,2
106,Female,3
107,Female,3
108,Female,3
109,Female,1
110,Female,3
111,Female,2
113,Female,3
114,Female,3
115,Female,3
116,Female,2
117,Female,3
119,Female,3
122,Female,3
123,Female,2
128,Female,3
129,Female,3
133,Female,2
141,Female,3
142,Female,3
143,Female,1
144,Female,3
145,Female,2
146,Female,3
147,Female,2
148,Female,1
151,Female,3
152,Female,3
154,Female,2
155,Female,3
156,Female,3
157,Female,1
159,Female,3
160,Female,1
164,Female,3
165,Female,2
166,Female,2
167,Female,3
171,Female,3
173,Female,3
176,Female,1
178,Female,3
180,Female,3
181,Female,3
184,Female,2
186,Female,3
187,Female,3
191,Female,2
193,Female,3
197,Female,2
198,Female,3
203,Female,3
205,Female,3
208,Female,2
210,Female,3
213,Female,3
216,Female,3
217,Female,3
219,Female,3
221,Female,3
223,Female,1
227,Female,3
228,Female,3
229,Female,2
231,Female,1
232,Female,3
233,Female,3
234,Female,3
238,Female,3
241,Female,3
